rn  provider_record_id  provider_item_id                                       provider_delta                      geppetto_event_record_id  geppetto_delta                      backend_ordinal  backend_message_id     frontend_ordinal  frontend_message_id    ui_mutation_message_id  timeline_entity_id     timeline_created_ordinal  timeline_last_event_ordinal
11  96                  rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  'What'                              101                       'What'                              14               chat-msg-1:thinking:1  14                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

12  103                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' is'                               108                       ' is'                               15               chat-msg-1:thinking:1  15                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

13  110                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' 5'                                115                       ' 5'                                16               chat-msg-1:thinking:1  16                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

14  117                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' +'                                122                       ' +'                                17               chat-msg-1:thinking:1  17                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

15  124                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' 6'                                129                       ' 6'                                18               chat-msg-1:thinking:1  18                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

16  131                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  '?"'                                136                       '?"'                                19               chat-msg-1:thinking:1  19                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

17  138                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' Since'                            143                       ' Since'                            20               chat-msg-1:thinking:1  20                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

18  145                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' my'                               150                       ' my'                               21               chat-msg-1:thinking:1  21                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

19  152                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' mode'                             157                       ' mode'                             22               chat-msg-1:thinking:1  22                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

20  159                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' is'                               164                       ' is'                               23               chat-msg-1:thinking:1  23                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

21  166                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' set'                              171                       ' set'                              24               chat-msg-1:thinking:1  24                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

22  173                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' to'                               178                       ' to'                               25               chat-msg-1:thinking:1  25                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

23  180                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' financial'                        185                       ' financial'                        26               chat-msg-1:thinking:1  26                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

24  187                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' analyst'                          192                       ' analyst'                          27               chat-msg-1:thinking:1  27                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

25  194                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ','                                 199                       ','                                 28               chat-msg-1:thinking:1  28                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

26  201                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' I'                                206                       ' I'                                29               chat-msg-1:thinking:1  29                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

27  208                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' need'                             213                       ' need'                             30               chat-msg-1:thinking:1  30                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

28  215                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' to'                               220                       ' to'                               31               chat-msg-1:thinking:1  31                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

29  222                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' ensure'                           227                       ' ensure'                           32               chat-msg-1:thinking:1  32                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

30  229                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' I'                                234                       ' I'                                33               chat-msg-1:thinking:1  33                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

31  236                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' address'                          241                       ' address'                          34               chat-msg-1:thinking:1  34                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

32  243                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' their'                            248                       ' their'                            35               chat-msg-1:thinking:1  35                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

33  250                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' request'                          255                       ' request'                          36               chat-msg-1:thinking:1  36                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

34  257                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' clearly'                          262                       ' clearly'                          37               chat-msg-1:thinking:1  37                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

35  264                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  '.'                                 269                       '.'                                 38               chat-msg-1:thinking:1  38                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

36  271                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' I'                                276                       ' I'                                39               chat-msg-1:thinking:1  39                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

37  278                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' should'                           283                       ' should'                           40               chat-msg-1:thinking:1  40                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

38  285                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' provide'                          290                       ' provide'                          41               chat-msg-1:thinking:1  41                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

39  292                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' the'                              297                       ' the'                              42               chat-msg-1:thinking:1  42                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

40  299                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' answer'                           304                       ' answer'                           43               chat-msg-1:thinking:1  43                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

41  306                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' directly'                         311                       ' directly'                         44               chat-msg-1:thinking:1  44                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

42  313                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ':'                                 318                       ':'                                 45               chat-msg-1:thinking:1  45                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

43  320                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' "'                                325                       ' "'                                46               chat-msg-1:thinking:1  46                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

44  327                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  '5'                                 332                       '5'                                 47               chat-msg-1:thinking:1  47                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

45  334                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' +'                                339                       ' +'                                48               chat-msg-1:thinking:1  48                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

46  341                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' 6'                                346                       ' 6'                                49               chat-msg-1:thinking:1  49                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

47  348                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' equals'                           353                       ' equals'                           50               chat-msg-1:thinking:1  50                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

48  355                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' 11'                               360                       ' 11'                               51               chat-msg-1:thinking:1  51                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

49  362                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  '."'                                367                       '."'                                52               chat-msg-1:thinking:1  52                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

50  369                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' To'                               374                       ' To'                               53               chat-msg-1:thinking:1  53                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

51  376                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' follow'                           381                       ' follow'                           54               chat-msg-1:thinking:1  54                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

52  383                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' their'                            388                       ' their'                            55               chat-msg-1:thinking:1  55                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

53  390                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' instructions'                     395                       ' instructions'                     56               chat-msg-1:thinking:1  56                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

54  397                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' for'                              402                       ' for'                              57               chat-msg-1:thinking:1  57                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

55  404                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' brief'                            409                       ' brief'                            58               chat-msg-1:thinking:1  58                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

56  411                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' reasoning'                        416                       ' reasoning'                        59               chat-msg-1:thinking:1  59                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

57  418                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ','                                 423                       ','                                 60               chat-msg-1:thinking:1  60                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

58  425                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' I''ll'                            430                       ' I''ll'                            61               chat-msg-1:thinking:1  61                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

59  432                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' add'                              437                       ' add'                              62               chat-msg-1:thinking:1  62                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

60  439                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ':'                                 444                       ':'                                 63               chat-msg-1:thinking:1  63                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

61  446                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' "'                                451                       ' "'                                64               chat-msg-1:thinking:1  64                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

62  453                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  'Because'                           458                       'Because'                           65               chat-msg-1:thinking:1  65                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

63  460                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' 5'                                465                       ' 5'                                66               chat-msg-1:thinking:1  66                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

64  467                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' plus'                             472                       ' plus'                             67               chat-msg-1:thinking:1  67                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

65  474                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' 6'                                479                       ' 6'                                68               chat-msg-1:thinking:1  68                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

66  481                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' is'                               486                       ' is'                               69               chat-msg-1:thinking:1  69                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

67  488                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' 11'                               493                       ' 11'                               70               chat-msg-1:thinking:1  70                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

68  495                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  '."'                                500                       '."'                                71               chat-msg-1:thinking:1  71                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

69  502                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' So'                               507                       ' So'                               72               chat-msg-1:thinking:1  72                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

70  509                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ','                                 514                       ','                                 73               chat-msg-1:thinking:1  73                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

71  516                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' I'                                521                       ' I'                                74               chat-msg-1:thinking:1  74                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

72  523                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  '’ll'                               528                       '’ll'                               75               chat-msg-1:thinking:1  75                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

73  530                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' clearly'                          535                       ' clearly'                          76               chat-msg-1:thinking:1  76                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

74  537                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' state'                            542                       ' state'                            77               chat-msg-1:thinking:1  77                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

75  544                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' the'                              549                       ' the'                              78               chat-msg-1:thinking:1  78                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

76  551                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' calculation'                      556                       ' calculation'                      79               chat-msg-1:thinking:1  79                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

77  558                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' and'                              563                       ' and'                              80               chat-msg-1:thinking:1  80                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

78  565                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' reasoning'                        570                       ' reasoning'                        81               chat-msg-1:thinking:1  81                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

79  572                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ','                                 577                       ','                                 82               chat-msg-1:thinking:1  82                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        

80  579                 rs_028a4c9699925a570069fcc18245808197a4a45630cc7eeea5  ' while'                            584                       ' while'                            83               chat-msg-1:thinking:1  83                chat-msg-1:thinking:1  chat-msg-1:thinking:1   chat-msg-1:thinking:1  4                         381                        
correlated_rows  geppetto_frontend_exact_matches  geppetto_frontend_mismatches  provider_frontend_exact_matches  provider_frontend_mismatches
---------------  -------------------------------  ----------------------------  -------------------------------  ----------------------------
359              359                              0                             356                              3                           
